FCCODE,NAME,TOWN,FTC,FVNO,FVDATE,DESCRIP,CREDIT,DEBIT,INVDATE,SHCODE
9999,CASH SALES A/C,,SI,228,04/04/2019,To Credit Sales,0.00,607.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,229,04/04/2019,To Credit Sales,0.00,285.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,230,04/04/2019,To Credit Sales,0.00,515.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,231,04/04/2019,To Credit Sales,0.00,2172.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,232,04/04/2019,To Credit Sales,0.00,929.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,233,04/04/2019,To Credit Sales,0.00,800.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,234,04/04/2019,To Credit Sales,0.00,631.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,235,04/04/2019,To Credit Sales,0.00,1560.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,236,04/04/2019,To Credit Sales,0.00,2124.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,237,04/04/2019,To Credit Sales,0.00,1879.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,238,04/04/2019,To Credit Sales,0.00,1314.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,239,04/04/2019,To Credit Sales,0.00,243.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,240,04/04/2019,To Credit Sales,0.00,510.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,241,04/04/2019,To Credit Sales,0.00,814.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,242,04/04/2019,To Credit Sales,0.00,543.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,243,04/04/2019,To Credit Sales,0.00,898.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,244,04/04/2019,To Credit Sales,0.00,193.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,245,04/04/2019,To Credit Sales,0.00,312.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,246,04/04/2019,To Credit Sales,0.00,1016.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,247,04/04/2019,To Credit Sales,0.00,344.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,248,04/04/2019,To Credit Sales,0.00,1016.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,249,04/04/2019,To Credit Sales,0.00,279.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,250,04/04/2019,To Credit Sales,0.00,1056.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,251,04/04/2019,To Credit Sales,0.00,426.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,252,04/04/2019,To Credit Sales,0.00,545.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,253,04/04/2019,To Credit Sales,0.00,335.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,254,04/04/2019,To Credit Sales,0.00,493.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,255,04/04/2019,To Credit Sales,0.00,582.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,256,04/04/2019,To Credit Sales,0.00,304.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,257,04/04/2019,To Credit Sales,0.00,166.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,258,04/04/2019,To Credit Sales,0.00,3464.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,259,04/04/2019,To Credit Sales,0.00,251.00,04/04/2019,A005
